,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,IMDBRating,IMDBVotes,IMDBID,Box Office Revenue,Type
10,Bangkok Breaking,2021–,TV-MA,23 Sep 2021,,"Action, Crime, Drama",,"Clayton Fitts, Rehan Malik","Sushar Manaying, Sukollawat Kanarot, Nophand Boonyai","Newly arrived in Bangkok, Wanchai joins the road rescue service and unravels a city-wide conspiracy with the help of a journalist.",Thai,Thailand,,,5.8,311,tt14202282,,series
11,Je Suis Karl,2021,TV-MA,23 Sep 2021,126.0,"Drama, Romance, Thriller",Christian Schwochow,Thomas Wendrich,"Luna Wedler, Jannis Niewöhner, Milan Peschel","Maxi, the survivor of a terrorist attack, joins the beguiling student Karl and becomes part of a European youth movement; one that aims for nothing less than seizing power.","German, French, English, Arabic, Czech","Germany, Czech Republic",5 nominations,,5.5,"1,210",tt9205538,,movie
12,Confessions of an Invisible Girl,2021,TV-PG,22 Sep 2021,91.0,"Comedy, Drama",Bruno Garotti,"Bruno Garotti, Flávia Lins e Silva, Christiana Oliveira","Lucca Picon, Marcus Bessa, Caio Cabral","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas.",Portuguese,Brazil,1 nomination,,5.2,"1,132",tt15204288,,movie
13,Crime Stories: India Detectives,2021–,TV-MA,22 Sep 2021,,"Documentary, Crime, Mystery",,,"N. Shashi Kumar, Gopala Nayak, Latha Mahesh",Follows major criminal investigations from the time the crime is reported until the suspect gets captured.,Kannada,India,,,7.1,"1,065",tt14178956,,series
14,Dear White People,2014,R,04 Dec 2014,108.0,"Comedy, Drama, Romance",Justin Simien,Justin Simien,"Tyler James Williams, Tessa Thompson, Kyle Gallner",The lives of four black students at an Ivy League college.,English,United States,13 wins & 28 nominations,79,6.1,"27,190",tt2235108,"$4,404,154",movie
16,Intrusion,2021,TV-14,22 Sep 2021,92.0,"Drama, Thriller",Adam Salky,Chris Sparling,"Freida Pinto, Logan Marshall-Green, Robert John Burke","A woman moves to a small town with her husband, but is rattled when she is targeted for a home invasion.",English,United States,1 win,39,5.2,"17,433",tt5563324,,movie
17,Jaguar,2021–,TV-14,22 Sep 2021,2.0,"Action, Drama, History",,"Ramón Campos, Gema R. Neira","Blanca Suárez, Iván Marcos, Óscar Casas","In the 1960s, Spain became a home to hundreds of survivors of the Mauthausen camp. Isabel, a young Spanish woman, is one of them. She is looking for Skorzeny, Europe's most dangerous man, but she is not alone.",Spanish,Spain,,,5.8,"1,875",tt11698590,,series
18,Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-MA,22 Sep 2021,1.0,"Documentary, Crime",,,"Kathy Preston, Bob Ruth, Sheila Porter","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.","English, French",United States,,,6.2,"3,897",tt15287836,,series
20,Jeans,1998,Not Rated,24 Apr 1998,175.0,"Comedy, Drama, Romance",S. Shankar,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Nassar",The father of twin brothers wants to get them married to only twin sisters. But one of the brothers falls in love with a woman does not have a twin sister.,Tamil,India,3 wins,,6.4,"3,669",tt0151121,,movie
21,Love on the Spectrum,2019–2021,TV-14,22 Jul 2020,,"Documentary, Reality-TV, Romance",,,"Brooke Satchwell, Michael Theo, Mark Radburn","A documentary series following young adults on the autism spectrum as they explore the unpredictable world of love, dating and relationships.",English,Australia,3 wins & 5 nominations,,8.6,"6,171",tt11904786,,series
